Detector,Method,AUPRC,Recall@0.1% FPR,Recall@0.5% FPR,Recall@1% FPR,Prec@100,Prec@500,Prec@1000
lightgbm,No aug.,0.932 ± 0.001,0.931 ± 0.001,0.946 ± 0.002,0.952 ± 0.002,1.000 ± 0.000,0.648 ± 0.003,0.329 ± 9.9e-04
lightgbm,SMOTE + repair,0.932 ± 0.002,0.932 ± 0.005,0.946 ± 0.004,0.954 ± 0.009,1.000 ± 0.000,0.645 ± 0.005,0.329 ± 0.001
lightgbm,Mixup + repair,0.934 ± 0.005,0.934 ± 0.008,0.946 ± 0.004,0.950 ± 0.005,1.000 ± 0.000,0.651 ± 0.006,0.329 ± 0.002
lightgbm,Random feasible,0.934 ± 0.002,0.932 ± 0.003,0.945 ± 0.002,0.955 ± 0.005,1.000 ± 0.000,0.649 ± 0.003,0.329 ± 7.9e-04
lightgbm,Hard projected,0.946 ± 0.001,0.947 ± 0.002,0.950 ± 0.003,0.952 ± 0.004,1.000 ± 0.000,0.661 ± 0.001,0.331 ± 7.0e-04
lightgbm,Plausible hard,0.947 ± 0.002,0.948 ± 0.003,0.952 ± 0.002,0.953 ± 0.003,1.000 ± 0.000,0.661 ± 0.002,0.332 ± 7.4e-04
lightgbm,Curriculum projected,0.945 ± 0.003,0.947 ± 0.002,0.952 ± 0.003,0.955 ± 0.006,1.000 ± 0.000,0.660 ± 0.002,0.332 ± 9.7e-04
lightgbm,Typology projected,0.947 ± 0.002,0.947 ± 0.001,0.952 ± 0.003,0.954 ± 0.005,1.000 ± 0.000,0.660 ± 0.002,0.332 ± 8.4e-04
lightgbm,Plausible typology,0.946 ± 0.003,0.947 ± 0.003,0.950 ± 0.003,0.954 ± 0.005,1.000 ± 0.000,0.660 ± 0.002,0.332 ± 0.001
xgboost,No aug.,0.927 ± 9.7e-04,0.928 ± 0.004,0.940 ± 1.2e-16,0.943 ± 0.003,1.000 ± 0.000,0.645 ± 0.003,0.327 ± 8.8e-04
xgboost,SMOTE + repair,0.930 ± 0.002,0.933 ± 0.003,0.940 ± 0.002,0.947 ± 0.005,1.000 ± 0.000,0.649 ± 0.004,0.328 ± 7.1e-04
xgboost,Mixup + repair,0.933 ± 0.005,0.936 ± 0.006,0.945 ± 0.004,0.949 ± 0.003,1.000 ± 0.000,0.652 ± 0.004,0.329 ± 0.002
xgboost,Random feasible,0.932 ± 0.002,0.932 ± 0.004,0.941 ± 0.003,0.948 ± 0.004,1.000 ± 0.000,0.650 ± 0.003,0.327 ± 0.002
xgboost,Hard projected,0.945 ± 0.003,0.947 ± 0.003,0.950 ± 0.003,0.952 ± 0.004,1.000 ± 0.000,0.660 ± 0.002,0.332 ± 0.001
xgboost,Plausible hard,0.945 ± 0.002,0.946 ± 0.002,0.951 ± 0.003,0.954 ± 0.005,1.000 ± 0.000,0.660 ± 0.002,0.331 ± 9.7e-04
xgboost,Curriculum projected,0.946 ± 0.003,0.948 ± 0.003,0.951 ± 0.005,0.954 ± 0.005,1.000 ± 0.000,0.660 ± 0.002,0.332 ± 0.001
xgboost,Typology projected,0.942 ± 0.005,0.946 ± 0.004,0.951 ± 0.005,0.954 ± 0.007,0.999 ± 0.003,0.660 ± 0.002,0.331 ± 0.001
xgboost,Plausible typology,0.941 ± 0.004,0.947 ± 0.003,0.952 ± 0.005,0.956 ± 0.007,0.999 ± 0.003,0.660 ± 0.001,0.331 ± 0.001
