dataset,detector,label_fraction,heldout_typology,curriculum_projected_v2,none,plausible_hard_projected_v2,plausible_typology_projected_v2,random_feasible_v2,typology_projected_v2
amlnet,lightgbm,0.01,,0.6701983762876613,0.6579603671943672,0.6999523509513796,0.6486625141576711,0.6660161134896743,0.6365604422109556
amlnet,lightgbm,0.05,,0.8001657366698403,0.8642576357664822,0.7652021706464714,0.7895659584103056,0.8351056415678293,0.7678980845535521
amlnet,lightgbm,0.25,,0.8691532965283478,0.9025115663335406,0.8326469826500036,0.8484304748902878,0.8889015027746707,0.8425094582798087
amlnet,xgboost,0.01,,0.3788756573494768,0.41566238798059507,0.412553660231481,0.4050622602868191,0.4482639064887796,0.39696983046291184
amlnet,xgboost,0.05,,0.4504633604059743,0.6073790532245367,0.483648259635794,0.46890211717531,0.5288955870758143,0.44890589520326385
amlnet,xgboost,0.25,,0.6639198594422226,0.8381893165844971,0.6155617690383769,0.6105784188699834,0.8312123534455363,0.6356807070854631
transxion,lightgbm,0.01,,0.0492965343161814,0.058355700344539005,0.05027072004624861,0.050831326164199,0.046569872903559205,0.0503931492497454
transxion,lightgbm,0.05,,0.08979012958728902,0.08708644489981521,0.08380747420438642,0.07710292721888581,0.0899785959991876,0.085417808062017
transxion,lightgbm,0.25,,0.1971662333169156,0.1728106720726572,0.184904318054111,0.184343047812866,0.1779183434976004,0.20070130385254062
transxion,xgboost,0.01,,0.020253268886684404,0.0236001857069648,0.0228618015363378,0.0211249596466434,0.0263878203225212,0.020682463252193
transxion,xgboost,0.05,,0.05614088051527061,0.05750249229936281,0.0548744584001508,0.0570519870816238,0.060255381179053005,0.056637558175067805
transxion,xgboost,0.25,,0.13753582783801901,0.1418965239004668,0.13834237186687778,0.133077623325933,0.1496221281238858,0.13583224022661802
