dataset,detector,label_fraction,augmentation,mean,std,count
amlnet,lightgbm,0.01,curriculum_projected_v2,0.6701983762876613,0.17613039404026054,5
amlnet,lightgbm,0.01,none,0.6579603671943672,0.13183563092975606,5
amlnet,lightgbm,0.01,plausible_hard_projected_v2,0.6999523509513796,0.1398097007881167,5
amlnet,lightgbm,0.01,plausible_typology_projected_v2,0.6486625141576711,0.18054109693016712,5
amlnet,lightgbm,0.01,random_feasible_v2,0.6660161134896743,0.15569331106079662,5
amlnet,lightgbm,0.01,typology_projected_v2,0.6365604422109556,0.15288886413538932,5
amlnet,lightgbm,0.05,curriculum_projected_v2,0.8001657366698403,0.07513908900547263,5
amlnet,lightgbm,0.05,none,0.8642576357664822,0.04827500943494659,5
amlnet,lightgbm,0.05,plausible_hard_projected_v2,0.7652021706464714,0.1214100613883045,5
amlnet,lightgbm,0.05,plausible_typology_projected_v2,0.7895659584103056,0.12066440397877197,5
amlnet,lightgbm,0.05,random_feasible_v2,0.8351056415678293,0.04171880985173355,5
amlnet,lightgbm,0.05,typology_projected_v2,0.7678980845535521,0.12462854733059642,5
amlnet,lightgbm,0.25,curriculum_projected_v2,0.8691532965283478,0.03558297192925482,5
amlnet,lightgbm,0.25,none,0.9025115663335406,0.01922137259912107,5
amlnet,lightgbm,0.25,plausible_hard_projected_v2,0.8326469826500038,0.07457465047250887,5
amlnet,lightgbm,0.25,plausible_typology_projected_v2,0.8484304748902878,0.05069471793047034,5
amlnet,lightgbm,0.25,random_feasible_v2,0.8889015027746707,0.02857593238223265,5
amlnet,lightgbm,0.25,typology_projected_v2,0.8425094582798087,0.015878981233961337,5
amlnet,xgboost,0.01,curriculum_projected_v2,0.3788756573494768,0.23045236040671613,5
amlnet,xgboost,0.01,none,0.41566238798059507,0.2781222423295412,5
amlnet,xgboost,0.01,plausible_hard_projected_v2,0.412553660231481,0.2331841638351022,5
amlnet,xgboost,0.01,plausible_typology_projected_v2,0.40506226028681896,0.20839691383085468,5
amlnet,xgboost,0.01,random_feasible_v2,0.4482639064887796,0.22985639421524587,5
amlnet,xgboost,0.01,typology_projected_v2,0.3969698304629118,0.24047743295754778,5
amlnet,xgboost,0.05,curriculum_projected_v2,0.4504633604059742,0.2040454175358529,5
amlnet,xgboost,0.05,none,0.6073790532245367,0.11617819837727679,5
amlnet,xgboost,0.05,plausible_hard_projected_v2,0.483648259635794,0.15740766669110928,5
amlnet,xgboost,0.05,plausible_typology_projected_v2,0.46890211717531,0.16498251083422855,5
amlnet,xgboost,0.05,random_feasible_v2,0.5288955870758143,0.18366057043975298,5
amlnet,xgboost,0.05,typology_projected_v2,0.44890589520326385,0.16707666552330805,5
amlnet,xgboost,0.25,curriculum_projected_v2,0.6639198594422226,0.14024928654993118,5
amlnet,xgboost,0.25,none,0.8381893165844971,0.0445632211913264,5
amlnet,xgboost,0.25,plausible_hard_projected_v2,0.6155617690383768,0.12538280609090982,5
amlnet,xgboost,0.25,plausible_typology_projected_v2,0.6105784188699834,0.13847017239506132,5
amlnet,xgboost,0.25,random_feasible_v2,0.8312123534455363,0.05241475858761732,5
amlnet,xgboost,0.25,typology_projected_v2,0.6356807070854631,0.13610653795404798,5
transxion,lightgbm,0.01,curriculum_projected_v2,0.0492965343161814,0.02781577464319068,5
transxion,lightgbm,0.01,none,0.058355700344539,0.03612735484713814,5
transxion,lightgbm,0.01,plausible_hard_projected_v2,0.05027072004624859,0.03975882917175662,5
transxion,lightgbm,0.01,plausible_typology_projected_v2,0.050831326164199,0.03986641310222004,5
transxion,lightgbm,0.01,random_feasible_v2,0.0465698729035592,0.030318951421360835,5
transxion,lightgbm,0.01,typology_projected_v2,0.0503931492497454,0.02923593491424474,5
transxion,lightgbm,0.05,curriculum_projected_v2,0.08979012958728899,0.027607584771590397,5
transxion,lightgbm,0.05,none,0.08708644489981521,0.021629036423044354,5
transxion,lightgbm,0.05,plausible_hard_projected_v2,0.0838074742043864,0.01697625681252442,5
transxion,lightgbm,0.05,plausible_typology_projected_v2,0.0771029272188858,0.016447725282476584,5
transxion,lightgbm,0.05,random_feasible_v2,0.08997859599918759,0.026208395687849776,5
transxion,lightgbm,0.05,typology_projected_v2,0.085417808062017,0.022056459807109595,5
transxion,lightgbm,0.25,curriculum_projected_v2,0.1971662333169156,0.01295515299681974,5
transxion,lightgbm,0.25,none,0.1728106720726572,0.011707227997308679,5
transxion,lightgbm,0.25,plausible_hard_projected_v2,0.184904318054111,0.014869299604431778,5
transxion,lightgbm,0.25,plausible_typology_projected_v2,0.18434304781286598,0.017065003612615343,5
transxion,lightgbm,0.25,random_feasible_v2,0.1779183434976004,0.01051723940249169,5
transxion,lightgbm,0.25,typology_projected_v2,0.20070130385254062,0.0199365027207422,5
transxion,xgboost,0.01,curriculum_projected_v2,0.0202532688866844,0.013348968898986091,5
transxion,xgboost,0.01,none,0.0236001857069648,0.017348332834428704,5
transxion,xgboost,0.01,plausible_hard_projected_v2,0.0228618015363378,0.019402153430677246,5
transxion,xgboost,0.01,plausible_typology_projected_v2,0.021124959646643397,0.01843032332005221,5
transxion,xgboost,0.01,random_feasible_v2,0.0263878203225212,0.020417697073326576,5
transxion,xgboost,0.01,typology_projected_v2,0.020682463252193,0.01714513021467131,5
transxion,xgboost,0.05,curriculum_projected_v2,0.056140880515270594,0.017310379929507708,5
transxion,xgboost,0.05,none,0.05750249229936281,0.018588410151127274,5
transxion,xgboost,0.05,plausible_hard_projected_v2,0.054874458400150795,0.01720159581907483,5
transxion,xgboost,0.05,plausible_typology_projected_v2,0.0570519870816238,0.01522283200014011,5
transxion,xgboost,0.05,random_feasible_v2,0.060255381179053005,0.020363176344197074,5
transxion,xgboost,0.05,typology_projected_v2,0.056637558175067805,0.009436391946493037,5
transxion,xgboost,0.25,curriculum_projected_v2,0.137535827838019,0.016262695864913485,5
transxion,xgboost,0.25,none,0.1418965239004668,0.02166521971328602,5
transxion,xgboost,0.25,plausible_hard_projected_v2,0.13834237186687778,0.024698838701672512,5
transxion,xgboost,0.25,plausible_typology_projected_v2,0.133077623325933,0.020225299712904442,5
transxion,xgboost,0.25,random_feasible_v2,0.1496221281238858,0.02407331671106745,5
transxion,xgboost,0.25,typology_projected_v2,0.135832240226618,0.01797616867487923,5
