rho,augmentation,mean,std,count
0.25,curriculum_projected_v2,0.6148013310416441,0.3763595767923653,12
0.25,plausible_hard_projected_v2,0.6139831451746146,0.3768817544525232,12
0.25,plausible_typology_projected_v2,0.6149309239904879,0.3755020375737534,12
0.25,random_feasible_v2,0.6147841927054832,0.37387359889690863,12
0.25,typology_projected_v2,0.6125081827883947,0.37753328569499905,12
0.5,curriculum_projected_v2,0.6219359231451258,0.38960828403519165,6
0.5,plausible_hard_projected_v2,0.6170615344378477,0.3950159321746434,6
0.5,plausible_typology_projected_v2,0.6200552862010295,0.3913746607854064,6
0.5,random_feasible_v2,0.6176690041662162,0.38754917411285333,6
0.5,typology_projected_v2,0.6188274275499733,0.3928492907531784,6
0.75,curriculum_projected_v2,0.6105267669274576,0.378242462198566,12
0.75,plausible_hard_projected_v2,0.6097448854062958,0.378407932907987,12
0.75,plausible_typology_projected_v2,0.6120369282182174,0.3766510637713362,12
0.75,random_feasible_v2,0.6112672909257533,0.3765349602830905,12
0.75,typology_projected_v2,0.6100406762235943,0.37861785126401976,12
1.25,curriculum_projected_v2,0.6200696390345385,0.39055474131923057,6
1.25,plausible_hard_projected_v2,0.6176600756129152,0.39628858134086,6
1.25,plausible_typology_projected_v2,0.6199324883741572,0.3924843376088142,6
1.25,random_feasible_v2,0.6207482836426018,0.3857440008130176,6
1.25,typology_projected_v2,0.6186789585171498,0.39321937037337146,6
