dataset,detector,label_fraction,heldout_typology,adv_no_projection,none,ours,random_feasible,random_graph
amlnet,graphsage_lite,1,,0.8489718479563076,0.8392535918383116,0.8497761612516052,0.8437452944069523,0.848796675347391
amlnet,lightgbm,1,,0.973406122839172,0.970446682432749,0.9709042274219911,0.9735612287137257,0.972931548851887
amlnet,logistic,1,,0.06818783973191334,0.09514807599699167,0.06326698726664667,0.07959376167217734,0.046241919002198005
amlnet,random_forest,1,,0.958105912522966,0.961997604547738,0.9571396604201617,0.9570877735942457,0.9559575238089111
amlnet,topology_lr,1,,0.049527346817687334,0.029646792393768332,0.06891267839397934,0.089394543836587,0.04852059454580467
amlnet,xgboost,1,,0.9747406438827725,0.9743830738285578,0.9733845028053135,0.9739713422774985,0.9739537588887645
transxion,graphsage_lite,1,,0.12257084985916335,0.11386142066046967,0.114710926635324,0.12546795586831402,0.12891322578772302
transxion,lightgbm,1,,0.25238245137909704,0.25124769931894203,0.24737677804018401,0.25331928679466437,0.26191214461898604
transxion,logistic,1,,0.04257095689947101,0.05675665184642867,0.057847854094921346,0.058157251665961675,0.05696574076716034
transxion,random_forest,1,,0.16402786503881603,0.18542834257350702,0.14404591755893767,0.19496832745990833,0.19762840061745668
transxion,topology_lr,1,,0.047217928737703,0.041322742743087004,0.06312941438934401,0.05920637604398033,0.05324353813891634
transxion,xgboost,1,,0.2378654654707367,0.2496076557154344,0.22789679742627902,0.24592797720638168,0.23693508973290536
